,0
149,"[318.5  321.75 329.5  321.5  320.5  323.   321.   326.25 312.25 313.25
 311.   300.5  302.75]"
150,"[305.5  309.5  314.5  305.   346.5  336.25 329.   318.   316.   325.75
 330.25 336.5  334.   338.75 341.   344.   340.5  333.5  341.5  358.25
 359.75]"
151,"[364.   362.25 381.25 381.75 383.   373.   372.   386.25 384.5  398.25
 403.5 ]"
152,"[397.75 378.   370.75 369.   379.5  366.   382.25 390.   384.   376.5
 367.  ]"
153,"[386.   394.5  394.   390.5  390.5  402.25 402.   398.   395.   391.
 387.25 376.   392.   397.25 402.75 399.75 391.75]"
154,"[385.25 373.75 368.75 369.5  368.   377.25 389.25 392.   407.5  410.25
 397.   397.75 400.   398.75 404.75 408.5  416.   417.  ]"
155,"[413.75 414.5  418.5  418.75 421.75 417.5  423.   422.5  392.5  384.
 381.   371.5  369.25 368.   372.   364.75]"
156,"[367.75 362.25 358.25 361.75 356.5  359.   365.   353.   354.   351.5
 356.   358.5  361.75 363.25 361.5  367.25]"
157,[360.   357.25 360.   371.5  367.75 375.25 372.25 378.   370.75 370.5 ]
158,"[375.75 372.   364.75 364.5  358.75 355.5  355.5  354.   363.25 366.75
 374.  ]"
159,"[376.   374.5  370.75 362.75 365.   355.   356.25 357.   354.5  345.
 344.5  345.75 346.5  356.5  348.25 345.75]"
160,"[348.25 352.5  358.   363.25 364.   347.75 355.5  359.25 362.25 353.
 352.25 347.5  357.   360.5  366.25]"
161,"[362.75 360.   364.75 364.   364.75 363.   369.75 371.75 366.5  356.75
 356.   359.75 359.25 362.   369.   371.   364.25 371.5  373.25]"
162,"[359.   354.   348.5  349.5  340.   335.75 337.25 338.25 343.25 349.5
 353.75 353.75 356.25 357.5  360.75]"
163,"[355.   351.5  346.5  344.75 340.5  333.75 325.   354.25 365.5  364.
 360.   370.75 377.5  375.25 371.25 366.75 375.25 392.5 ]"
164,"[394.75 381.5  374.   379.75 376.5  371.25 364.   362.75 376.25 379.25
 392.75 390.5  389.5  400.25 403.5  405.   403.   393.5  395.5  406.25
 411.75]"
165,"[407.25 414.75 418.5  414.25 421.25 417.25 405.25 404.75 416.5  421.
 425.5  424.5  432.25 433.   449.75 451.5  447.5  456.25 464.   469.25
 478.  ]"
166,"[495.25 496.   513.25 508.25 505.25 505.   499.25 521.75 512.75 500.
 505.   495.75 465.75 471.5  491.   488.5  498.25 528.25 555.75 579.  ]"
167,"[569.25 567.25 563.   557.25 546.   573.5  564.25 560.   568.75 571.
 577.25 579.   582.   577.25 575.75 581.   590.  ]"
168,"[587.75 585.25 576.25 566.75 564.   534.   555.5  526.5  525.75 541.75
 520.75 515.25]"
169,"[528.5  538.75 538.25 538.25 530.   551.75 540.75 559.   553.75 547.25
 559.5  560.25 560.25 575.25 574.5  584.25 587.5  596.5  599.5  602.25
 609.  ]"
170,"[614.   615.25 623.25 624.   616.   629.   620.5  608.5  619.25 602.
 595.   607.   607.   631.   642.5  648.75 659.5 ]"
171,"[641.25 654.   657.25 655.25 644.   657.75 650.75 644.   659.5  666.
 669.25 662.5  678.5  674.75 673.75 698.   698.5  706.5  695.75]"
172,"[690.5  690.5  712.75 709.75 679.75 691.5  685.75 712.   722.5  727.25
 714.   729.75 721.25 710.75 698.75 695.   676.25 659.25 664.   636.
 616.5 ]"
173,"[646.5  683.5  686.5  686.75 681.   702.5  689.5  671.   671.75 663.25
 693.25 736.   760.25 766.75 763.   759.   768.   776.   752.5 ]"
174,"[755.5  754.25 742.   751.75 749.   732.75 737.25 762.5  766.25 752.25
 723.   754.   730.75 719.   726.5  705.   682.75]"
175,[704.5  706.   668.75 681.25 679.   697.5  720.25 749.75 748.25 759.5 ]
176,"[754.   733.25 742.25 745.5  758.5  747.5  758.5  766.5  754.   732.
 736.5  764.   785.5  787.  ]"
177,[782.5  755.5  725.75 701.5  700.25 700.5  707.5  677.5  680.5  670.  ]
178,"[660.75 683.   698.   629.   640.75 680.5  648.75 650.   672.25 681.5
 697.   726.75]"
179,"[716.5  701.25 696.25 698.   688.   679.25 690.   678.75 689.75 691.5
 682.25]"
180,"[665.5  681.25 711.25 706.   693.75 693.   675.25 678.25 678.   702.5
 701.75 707.25 714.   711.5  699.   711.   720.5  730.25 731.75]"
181,"[732.25 752.5  756.25 763.5  757.5  728.75 750.25 746.75 736.5  723.25
 726.   734.25 709.25 713.   701.   692.   692.25 690.25 685.75 650.  ]"
182,"[638.5  648.   652.25 630.75 632.5  592.5  592.5  587.75 605.5  605.5
 600.   605.   645.   640.75 638.25 640.  ]"
183,"[640.5  644.   638.5  649.5  649.25 651.   650.75 637.25 651.5  655.
 647.   654.25 645.   653.5  655.75 653.25 660.5 ]"
184,"[656.   645.5  638.5  633.5  645.5  642.75 614.5  610.25 597.75 599.
 588.75 582.5 ]"
185,"[591.75 598.   601.25 594.75 586.5  580.25 585.25 582.25 590.   585.5
 585.5  588.5  580.   579.   583.   601.   607.   616.5  617.5  619.5
 633.25]"
186,"[642.5 638.  646.5 658.5 658.5 643.5 643.5 652.  652.  651.5 611.5 599.5
 604.  593.5]"
187,"[606.   611.5  620.   630.25 634.5  634.5  641.75 631.75 639.   642.
 643.   644.5  644.25]"
188,"[642.25 642.5  637.   631.75 639.5  633.5  627.   636.25 641.75 629.5
 638.25 639.5  640.75 644.5  653.5  656.5  653.75 659.   666.25]"
189,"[658.   643.75 645.   654.   671.5  674.   669.5  669.   673.   663.5
 647.5  642.   644.5  646.5  637.75 630.75 620.25 604.  ]"
190,"[644.   655.   658.25 656.75 658.25 649.   634.75 636.   637.5  629.25
 623.25 616.75 601.75]"
191,"[621.   612.5  622.5  618.25 611.   624.   653.   660.25 659.75 642.25
 650.75 662.25 665.   666.   641.25]"
192,"[625.5  608.   608.   597.25 620.   625.   635.5  633.   597.   603.5
 578.5  578.5  562.5  559.5  555.25 551.5 ]"
193,"[568.   567.5  586.25 594.   598.   592.   584.   592.5  601.5  579.5
 599.5  612.5  611.75 586.5  591.   631.   646.   649.5  652.   672.5
 692.5 ]"
194,"[718.75 768.   743.25 775.25 761.   750.75 771.25 755.75 776.75 779.5
 795.   807.75 824.5 ]"
195,[814.   790.   794.5  781.25 798.5  820.   806.5  800.5  794.   810.  ]
196,"[803.   796.   810.75 818.25 800.   782.75 779.75 794.   797.75 798.5
 815.25 831.25]"
197,"[830.25 808.75 802.25 794.5  789.5  810.25 811.5  802.75 807.   789.75
 797.25 795.  ]"
198,"[781.   782.25 771.   776.75 777.5  748.   740.   756.5  746.   748.25
 744.75 743.75 724.75 716.25]"
199,[756.25 756.75 758.25 756.75 757.   748.   742.   742.   736.75 773.25]
200,"[752.75 737.25 738.25 745.5  760.75 761.5  761.25 756.   754.5  742.
 737.75 755.75 751.   739.5  735.5  741.   744.25 741.25 738.75 718.
 723.5 ]"
201,[725.75 721.25 727.   738.75 743.25 741.   745.5  747.25 760.   760.25]
202,"[751.5  748.   749.   746.5  753.25 747.75 732.75 726.75 724.25 721.
 712.25]"
203,"[718.75 724.   720.   703.   696.5  702.   704.25 693.25 691.5  694.
 698.25 690.75]"
204,[689.25 680.25 685.5  688.75 694.25 698.75 708.75 724.   730.5  731.25]
205,"[724.5  727.5  728.5  720.75 724.25 720.75 729.25 729.5  740.25 740.5
 736.  ]"
206,"[734.25 729.   722.5  710.75 709.   702.25 696.25 695.5  694.75 698.75
 695.25 700.5  690.75]"
207,[690.25 693.5  705.   709.5  719.5  724.25 723.   732.   708.   711.5 ]
208,"[725.25 734.5  741.   741.25 732.75 717.   720.   728.5  732.5  733.
 726.25 733.25 730.25 735.25 695.25 642.25 640.5  641.5  630.   629.  ]"
209,"[633.5  644.25 649.   651.25 658.5  646.75 663.25 660.5  644.5  652.
 645.75 638.5  639.5  645.25 644.   684.   683.25 681.75 697.5  699.5
 678.75]"
210,"[676.5  675.   694.5  687.75 718.   706.75 650.75 641.5  652.75 649.5
 640.   658.5  662.   657.25 666.5  665.   654.25]"
211,"[662.   655.75 660.5  660.75 663.25 666.25 650.   659.5  650.75 643.5
 655.   668.5  673.25 682.25]"
212,"[673.25 661.75 653.25 656.75 664.5  667.25 679.25 655.5  672.75 678.25
 684.75 691.75 704.  ]"
213,"[709.75 716.75 701.5  536.25 545.25 538.5  541.   544.   540.75 522.5
 508.25 496.   492.   489.25 495.5  499.   487.5  476.   469.25 472.25
 468.25]"
214,"[473.5  465.75 472.   455.25 464.75 481.5  473.75 493.25 483.75 498.
 487.5  495.5  515.75]"
215,"[499.75 504.25 497.25 495.   498.   494.   489.5  491.5  477.25 474.75
 479.75 479.   450.   456.5  454.   456.25 459.5  451.   453.25 448.75]"
216,"[454.75 456.75 454.   441.5  439.   439.   439.25 443.25 449.25 441.75
 443.5  438.25 433.25 437.  ]"
217,"[443.5  442.75 443.   441.5  444.   438.25 442.75 440.25 440.   430.75
 432.   430.25 428.25 427.25 426.25 425.   421.25 420.5 ]"
218,"[426.75 434.75 432.25 429.75 426.5  422.   412.   417.75 417.   423.
 422.25 424.75 418.5  417.25 415.25]"
219,[416.5  422.   425.5  422.75 424.   428.5  427.5  431.25 428.25 420.5 ]
220,"[423.25 426.75 425.   430.5  433.25 434.25 434.5  426.25 427.5  423.5
 422.  ]"
221,[420.5  423.5  427.75 426.   417.   412.   432.75 434.5  431.5  425.75]
