,0
92,"[11.88445377 11.88221264 11.8423624  12.21571255 12.09541321 12.01421833
 12.28819084 12.59279919 12.42144108 12.09267426]"
93,"[12.07424259 11.80624676 12.12978458 12.16689491 12.03464127 12.40326023
 12.48495293 12.45531368 12.45406914 12.16839027 12.11085606 12.00624847
 11.8331461  11.77287197 11.75792789 11.31409168]"
94,"[11.08221054 10.94622135 10.87299538 10.86104012 11.21297073 11.37137699
 11.64360714 11.8513279  12.18432999 12.23762989]"
95,"[12.30438042 11.44734287 11.61097908 11.99479103 11.8929224  12.07499027
 12.20575047 12.17860222 12.26976013 12.06353283 12.07947254 12.07598591
 12.21446705 12.20002079 12.61073208 12.65506554]"
96,"[12.45880127 12.58657169 12.54572582 12.24759293 12.25431824 12.1133461
 12.09441662 12.21720695 12.00873756 11.6555624  11.50736809 11.5584259 ]"
97,"[11.24260998 11.32305813 11.23239803 11.42791462 11.27498913 11.20848846
 11.46527481 11.5362587  11.71359539 11.56664467 11.7205677  11.86004639
 11.85904884 12.01172733 11.96589947 11.97112942 11.98159027 12.20799065
 12.65954876 12.78856468 12.85182762]"
98,"[12.78906345 13.13302422 13.21073341 13.1300354  13.14298725 13.09566402
 13.09142971 13.00998497 13.40550327 13.30886459 13.20077038 13.35867786
 13.42069626 13.48420811 13.53178024 13.47275066 14.98010063 15.3850832
 15.13900471 15.1427412  15.24261665]"
99,"[15.25606728 15.35494614 15.4072504  15.35419941 15.40675163 15.28520679
 15.31758595 15.33253002 15.44660187 15.54847145 15.56864452 15.61073685
 15.56216908 15.51385021 15.37213135 15.02592945 14.83115864 14.53850555
 14.53427219]"
100,"[14.85830688 14.71559238 14.72530556 14.52082157 14.81870556 14.69491959
 14.49840641 13.84087086 14.05606365 14.24211693 14.27150726 14.40500641]"
101,"[14.62368679 14.70836926 14.73227978 14.74996376 14.80998898 14.81721115
 14.70239162 14.73750973 14.7148447  14.82094669 15.02044964 15.08072376]"
102,"[15.0493412  15.00326443 14.9170866  14.96889305 14.91559315 14.7937994
 15.05233002 14.99678802 15.1698904  15.28022575 15.35345078 15.29790974
 15.34274197 15.36416054 15.35967827 15.54622936]"
103,"[15.93103695 15.73477173 15.61073685 15.2386322  15.21995163 15.43987846
 15.35494614 15.36216927 14.96864414 14.95295334]"
104,"[15.21895599 15.24286556 15.19678879 15.21746063 15.29990196 15.40176964
 15.35494614 15.35345078 15.55419922 15.64510822 15.54548168 15.547225
 15.57312775 15.69317818]"
105,"[15.1982832  15.22592926 15.16366291 15.19404888 15.27773476 14.96291542
 14.9636631  15.18209362 14.95942783 14.73626518 14.7524538  14.73900509
 14.45332527 14.36391068 14.19653797 14.18582821 13.87549114]"
106,"[13.98159409 13.97412205 14.35867977 14.37910366 14.49965191 14.61746025
 14.43937778 14.33028698 14.48894215 14.49168205 14.61422157 14.73975182]"
107,"[14.63713646 14.17412186 14.30089664 14.44585323 14.40002537 14.38034916
 14.21197987 14.35320091 14.40874195 13.21795559 13.12181568 12.98956203
 13.09416962 13.07847881 13.07723331 13.27075768 13.39379692 13.39902687
 13.55170536]"
108,"[13.41372204 13.2974081  13.34473133 13.30687332 13.33252621 13.39180374
 13.51583862 13.33626175 13.32629967 13.18931293 12.91210175]"
109,"[13.21197796 13.19578934 13.23165512 13.05182934 12.91135502 12.90811729
 12.94323635 12.90487862 12.97387123 13.17611313 13.09093189 13.15220165
 13.02816677 12.97785568 12.92729473 12.93078232 12.87001038 12.69018364
 12.5711298  12.66179085 12.52679634]"
110,"[12.46253681 12.08022022 12.0692606  12.27897453 12.12978458 11.96066761
 11.82766724 12.02492809 12.29516506 12.39279938 12.61222553 12.97710896
 13.26129341 13.33402061]"
