run_idx,synthetic_pct,mae,dataset,k,variant,source_file
28,70,0.0374953486025333,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,70,0.2203209102153778,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,80,0.1477064490318298,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,80,0.1896943897008896,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
2,80,0.2329915016889572,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,80,0.1649949699640274,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,80,0.107158251106739,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,80,0.0634169578552246,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,80,0.0514354705810546,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,80,0.178640991449356,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,80,0.0474746488034725,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,80,0.2614342272281647,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,80,0.0536351613700389,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,80,0.0975052118301391,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,80,0.0323788560926914,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,80,0.2488413602113723,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,80,0.1182533502578735,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,80,0.0783306285738945,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,80,0.0652725100517273,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,80,0.248563751578331,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,80,0.042336244136095,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,80,0.2455191314220428,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,80,0.0283665712922811,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
21,80,0.1881815195083618,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
