seed,sample_id,family,persistence,n_obs,pooled_delta,acf_r_lag1,acf_abs_r_lag1,signed_stylized_distance,magnitude_path_distance
56,real_eval,real,,1000,0.141693530014227,0.07209824717404016,0.34070302068701674,0.0,0.0
56,iid_signs,iid_signs,,1000,0.11159132630951604,0.04254582591843097,0.34070302068701674,0.3175166602246882,0.0
56,markov_signs_p0.55,markov_signs,0.55,1000,0.1932092462934953,0.08436542797353828,0.34070302068701674,0.2027432796291441,0.0
56,markov_signs_p0.65,markov_signs,0.65,1000,0.17516756025681374,0.1584788119513064,0.34070302068701674,0.5072217576784853,0.0
56,markov_signs_p0.75,markov_signs,0.75,1000,0.42276811711752915,0.3699343965321866,0.34070302068701674,0.33978159865666613,0.0
56,markov_signs_p0.85,markov_signs,0.85,1000,0.5413225836038572,0.44126281268060186,0.34070302068701674,0.294971708696602,0.0
56,markov_signs_p0.90,markov_signs,0.9,1000,0.7467330587548368,0.47637030343573417,0.34070302068701674,0.9181115737264098,0.0
57,real_eval,real,,1000,0.13144407075734013,0.019155306123467657,0.15999253270681585,0.0,0.0
57,iid_signs,iid_signs,,1000,0.08186594318496906,-0.006949836749591775,0.15999253270681585,0.4014859981530518,0.0
57,markov_signs_p0.55,markov_signs,0.55,1000,0.22950844158818354,0.01614534207171949,0.15999253270681585,0.8577098123386964,0.0
57,markov_signs_p0.65,markov_signs,0.65,1000,0.3324810562198888,0.17376828518189422,0.15999253270681585,1.1527478066958268,0.0
57,markov_signs_p0.75,markov_signs,0.75,1000,0.35556261941501294,0.28810864813676595,0.15999253270681585,0.13053189767811996,0.0
57,markov_signs_p0.85,markov_signs,0.85,1000,0.5384224527254875,0.4067699375590125,0.15999253270681585,0.44896029102854457,0.0
57,markov_signs_p0.90,markov_signs,0.9,1000,0.6842643488484393,0.44782533526227675,0.15999253270681585,1.187703723377981,0.0
58,real_eval,real,,1000,0.2218574127478439,0.07288100792009582,0.2934894780136582,0.0,0.0
58,iid_signs,iid_signs,,1000,0.1316540888823981,-0.09156390128828777,0.2934894780136582,0.23049790333039757,0.0
